*
王後,王后
複讎,復讎
複出,復出
複任,復任
複卒,復卒
複思,復思
複甦,復甦
複役,復役
複業,復業
複音,復音
複位,復位
複元,復元
複原,復原
複失,復失
來複,來復
光複,光復
康複,康復
匡複,匡復
恢複,恢復
回複,回復
複萌,復萌
複發,復發
複始,復始
複興,復興
複得,復得
收複,收復
沈複,沈復
複燎,復燎
成長髮展,成長發展
日複一日,日復一日
無以複加,無以復加
萬劫不複,萬劫不復
往複,往復
亞馬孫,亞馬遜
彙率,匯率
百老彙,百老匯
結彙,結匯
票彙,票匯
電彙,電匯
彙兌,匯兌
彙報,匯報
彙編,匯編
彙票,匯票
彙費,匯費
彙兌,匯兌
彙流,匯流
彙款,匯款
彙合,匯合
彙集,匯集
彙聚,匯聚
彙錢,匯錢
彙總,匯總
換彙,換匯
結彙,結匯
信彙,信匯
融彙,融匯
總彙,總匯
郵彙,郵匯
外彙,外匯
無形眼鏡,隱形眼鏡
優傷,憂傷
盧裡亞,盧里亞
惟一,唯一
斗蟋蟀,鬥蟋蟀
歷夢,厲夢
惡心,噁心
閑聊,閒聊
遊泳,游泳
鎘克教,錫克教
感到負疚,感到內疚
遊過,游過
赫敏,妙麗
韋斯萊,衛斯理
羅恩,榮恩
珀西,派西
霍格沃茨,霍格華玆
穆麗爾,牡丹
芙蓉·德拉庫爾,花兒·戴樂古
加布麗·德拉庫爾,佳兒·戴樂古
小醜,小丑
丑醜,丑角
女醜,女丑
辛醜,辛丑
醜旦,丑旦
醜時,丑時
武醜,武丑
文醜,文丑
&emsp;,
xml:lang="en",xml:lang="tw" 
O liver,Oliver
